Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
monocarboxylic acid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of SNARE complex assembly,53,PEP3;PEP5;SEC6;SLY1;VAM6;VPS16;VPS33;VPS41;VPS45,9,18.0,0.001,0.14366666666666666,1.0,1.0
pentose-phosphate shunt,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleotide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tetrahydrofolate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of transcription by RNA polymerase I,-1,,0,0.0,1.0,1.0,1.0,1.0
steroid biosynthetic process,10,ATG26;CYB5;ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;GRE2;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;NSG1;PDR16;RRI1,29,129.0,0.001,0.044586206896551725,0.983,1.0
nucleosome assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of meiotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
outer mitochondrial membrane organization,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of translational initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear envelope organization,-1,,0,0.0,1.0,1.0,1.0,1.0
attachment of meiotic spindle microtubules to kinetochore,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of response to extracellular stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
protein maturation by [4Fe-4S] cluster transfer,-1,,0,0.0,1.0,1.0,1.0,1.0
mismatch repair,30,HSM3;MLH1;MLH2;MSH2;MSH3;MSH6;PMS1;POL30;POL31;RAD1;RAD10;RAD4;RFC1;RFC2;RFC3,15,72.8721901170725,0.002,0.2350909090909091,1.0,1.0
positive regulation of supramolecular fiber organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of chromatin organization,-1,,0,0.0,1.0,1.0,1.0,1.0
neutral lipid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
L-alpha-amino acid transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular lipid biosynthetic process,10,ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;RRI1,24,133.1938200260161,0.001,0.044586206896551725,0.985,1.0
pre-replicative complex assembly involved in nuclear cell cycle DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
ubiquinone biosynthetic process,34,CAT5;COQ10;COQ11;COQ3;COQ4;COQ5;COQ6;COQ9;HFD1;PUF3,10,69.0,0.001,0.09946153846153846,0.996,1.0
"mRNA cis splicing, via spliceosome",-1,,0,0.0,1.0,1.0,1.0,1.0
ascospore wall biogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
meiotic mismatch repair,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA-templated DNA replication initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of ribonucleoprotein complex localization,54,GLE2;NOG2;NUP100;PPH22;REA1,5,12.27454494336405,0.009,1.0,1.0,1.0
regulation of DNA recombination,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of chromosome organization,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear polyadenylation-dependent snoRNA catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
removal of nonhomologous ends,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial fusion,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA aminoacylation for protein translation,46,AIM10;ARC1;CDC60;CRS1;DED81;DIA4;DPS1;FRS1;FRS2;GLN4;GRS1;GRS2;GUS1;HTS1;ILS1;KRS1;MES1;MSD1;MSE1;MSF1;MSK1;MSM1;MST1;MSY1;NAM2;SES1;SLM5;THS1;TYS1;VAS1;WRS1;YDR341C;YHR020W,33,57.0,0.001,0.6465,1.0,1.0
calcium ion transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of establishment of protein localization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic DNA integrity checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
ER-associated misfolded protein catabolic process,10,CDC48;KRE5;NPL4;PMT1;PMT2;STE24;UFD1,7,129.0,0.001,0.044586206896551725,0.992,1.0
sulfur amino acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",28,BET1;BRE5;CEX1;COP1;DSL1;ERV41;ERV46;GCS1;GEA2;GET1;GET2;GET3;GLO3;RER1;RET2;RET3;SEC20;SEC21;SEC22;SEC27;SEC28;SEC39;SLY1;TIP20;TRX1;TRX2;UFE1;USE1;VPS74;YPT1;YPT6,31,105.0,0.001,0.6465,1.0,1.0
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
sterol biosynthetic process,10,ATG26;CYB5;ERG1;ERG10;ERG11;ERG2;ERG20;ERG24;ERG25;ERG26;ERG27;ERG28;ERG29;ERG3;ERG4;ERG5;ERG6;ERG7;ERG9;HMG1;HMG2;IDI1;MCR1;MOT3;NCP1;NSG1;PDR16;RRI1,28,129.0,0.001,0.044586206896551725,0.983,1.0
DNA topological change,-1,,0,0.0,1.0,1.0,1.0,1.0
"cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-1,,0,0.0,1.0,1.0,1.0,1.0
glycolytic fermentation to ethanol,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of growth of unicellular organism as a thread of attached cells,-1,,0,0.0,1.0,1.0,1.0,1.0
protein mannosylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of growth of unicellular organism as a thread of attached cells,-1,,0,0.0,1.0,1.0,1.0,1.0
antisense RNA transcript catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of phospholipid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
spliceosomal conformational changes to generate catalytic conformation,20,BRR2;CDC40;CEF1;CWC24;IST3;ISY1;PRP16;PRP18;PRP19;PRP2;PRP22;PRP38;PRP4;PRP45;PRP8;SLU7;SNU114;SPP381;SPP382;SYF1;YJU2,21,189.0,0.001,0.21550000000000002,1.0,1.0
acylglycerol catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
pteridine-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA threonylcarbamoyladenosine modification,-1,,0,0.0,1.0,1.0,1.0,1.0
oligosaccharide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, non-stop decay",-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of translational elongation,45,ANB1;ASC1;DHH1;EFT1;EFT2;GCN1;GCN20;HYP2;TRM9,9,27.0,0.001,0.2586,1.0,1.0
calcium ion homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to unfolded protein,10,BCK1;DFM1;EDE1;HRD1;HSP60;IRE1;ISW1;KAR2;KIN1;KIN2;MID2;OPI1;OTU1;PMT1;PMT2;PMT4;PTC2;SKN7;SLT2;SPT20;TCM62;VPS74;YAP1;YOS9;YPT1,25,116.0557101864488,0.002,0.0808125,0.981,1.0
pyrimidine nucleoside triphosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
exonucleolytic catabolism of deadenylated mRNA,-1,,0,0.0,1.0,1.0,1.0,1.0
N-terminal protein amino acid modification,5,ARD1;MAK10;MAK3;MAK31;MDM20;NAT1;NAT3;NAT5;NMT1;TAE1,10,150.0,0.001,0.1293,1.0,1.0
positive regulation of cell division,-1,,0,0.0,1.0,1.0,1.0,1.0
AMP biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
organelle localization by membrane tethering,-1,,0,0.0,1.0,1.0,1.0,1.0
"mitochondrial electron transport, cytochrome c to oxygen",18,COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX7;COX8;COX9;CYC1;MTC3,12,93.0,0.001,0.07605882352941176,1.0,1.0
mitotic sister chromatid cohesion,-1,,0,0.0,1.0,1.0,1.0,1.0
base-excision repair,30,APN1;CDC9;MRE11;OGG1;PAP2;POL2;POL3;POL31;POL32;RAD27;RAD50;STH1;UNG1;XRS2,14,62.127809882927494,0.005,0.4617857142857143,0.999,1.0
regulation of pseudohyphal growth,-1,,0,0.0,1.0,1.0,1.0,1.0
S-adenosylmethionine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cytoplasm protein quality control,-1,,0,0.0,1.0,1.0,1.0,1.0
early endosome to Golgi transport,-1,,0,0.0,1.0,1.0,1.0,1.0
amine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleotide catabolic process,38,CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SCS3;SMN1;TDH1;TDH2;TDH3;TPI1,25,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
peptidyl-lysine modification,-1,,0,0.0,1.0,1.0,1.0,1.0
tricarboxylic acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
microtubule polymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic cytokinetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitochondrion organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of receptor-mediated endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
endoplasmic reticulum membrane organization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondria-associated ubiquitin-dependent protein catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of formin-nucleated actin cable assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to endogenous stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
arginine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of intracellular transport,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA-templated DNA replication maintenance of fidelity,-1,,0,0.0,1.0,1.0,1.0,1.0
nuclear polyadenylation-dependent CUT catabolic process,31,AIR1;AIR2;DIS3;LRP1;MPP6;MTR3;PAP2;RRP6;SKI6;TRF5,10,126.57116012140852,0.001,0.036942857142857145,0.993,1.0
phosphatidylcholine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of carbohydrate metabolic process,60,FYV10;GID7;GID8;IGD1;PCL10;PCL8;PHO85;PSK1;RMD5;UBC8;VID24;VID28;VID30,13,15.0,0.001,0.05621739130434782,1.0,1.0
ribosome-associated ubiquitin-dependent protein catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of apoptotic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of protein modification process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to nitrogen starvation,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall beta-glucan biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ascospore-type prospore assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
homologous chromosome pairing at meiosis,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of phospholipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular aldehyde metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
Arp2/3 complex-mediated actin nucleation,47,ABP1;ARC15;ARC18;ARC19;ARC35;ARC40;ARP2;ARP3;BBC1;LAS17;LSB1;MYO3;MYO5;PAN1;PIN3;SLA1;SLA2;VRP1,18,27.0,0.001,0.1293,0.987,1.0
meiotic sister chromatid cohesion,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of autophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
triglyceride catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to oxygen-containing compound,-1,,0,0.0,1.0,1.0,1.0,1.0
small nucleolar ribonucleoprotein complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
telomere maintenance via telomere lengthening,-1,,0,0.0,1.0,1.0,1.0,1.0
lipoprotein biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrion distribution,-1,,0,0.0,1.0,1.0,1.0,1.0
snRNA metabolic process,31,AIR1;AIR2;BDF1;CBF5;GAR1;LRP1;MTR3;MTR4;NAB3;NHP2;NOP10;NRD1;PAP2;PRP16;PUS7;REX3;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SEN1;SKI6;TOR1;TOR2;TRF5;USB1,29,135.0,0.001,0.036942857142857145,0.98,1.0
regulation of cytokinetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
sphingosine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of vacuole organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulatory ncRNA-mediated gene silencing,-1,,0,0.0,1.0,1.0,1.0,1.0
response to cell cycle checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
NADH metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
import across plasma membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
translational termination,45,ANB1;CAM1;DBP5;ECM32;EFB1;ETT1;HYP2;MRF1;NAM7;NEW1;NPL3;PUB1;RLI1;RPL10;RRF1;RSO55;SSB1;SUP35;SUP45;TIF35;TPA1;YEF3,22,24.29073003902417,0.002,0.43100000000000005,1.0,1.0
establishment of protein localization to chromosome,-1,,0,0.0,1.0,1.0,1.0,1.0
actin cortical patch organization,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic DNA damage checkpoint signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of macroautophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
IMP biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleotide salvage,-1,,0,0.0,1.0,1.0,1.0,1.0
vacuolar transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
CUT metabolic process,31,AIR1;AIR2;DIS3;LRP1;MPP6;MTR3;NAB3;NRD1;PAP2;RRP4;RRP40;RRP6;SKI6;TRF5,14,135.0,0.001,0.036942857142857145,0.993,1.0
SNARE complex assembly,53,PEP3;PEP5;SEC6;SLY1;USO1;VAM6;VPS16;VPS33;VPS38;VPS41;VPS45;YPT1,12,18.0,0.001,0.14366666666666666,0.999,1.0
response to salt stress,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular distribution of mitochondria,-1,,0,0.0,1.0,1.0,1.0,1.0
eisosome assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of Ras protein signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
sulfur amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cytoplasmic microtubule organization,-1,,0,0.0,1.0,1.0,1.0,1.0
"RNA splicing, via transesterification reactions with guanosine as nucleophile",-1,,0,0.0,1.0,1.0,1.0,1.0
bipolar cellular bud site selection,-1,,0,0.0,1.0,1.0,1.0,1.0
SRP-dependent cotranslational protein targeting to membrane,58,KAR2;SBH2;SEC61;SEC63;SEC65;SIL1;SRP101;SRP14;SRP21;SRP54;SRP68;SRP72;SSA1;SSA2;SSA3;SSA4;SSH1,17,15.0,0.001,0.14366666666666666,1.0,1.0
error-free translesion synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA strand elongation,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial RNA processing,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA 3'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
response to hydrogen peroxide,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA aminoacylation for mitochondrial protein translation,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphatidylinositol-3-phosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
kinetochore organization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of pseudohyphal growth,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of mitotic cytokinetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
2-micrometer plasmid partitioning,-1,,0,0.0,1.0,1.0,1.0,1.0
ATP transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleoside phosphate catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
xenobiotic transport,-1,,0,0.0,1.0,1.0,1.0,1.0
endosome organization,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription by RNA polymerase III,17,BDP1;BRF1;BUD27;CKA1;CKA2;CKB1;CKB2;DST1;GTR1;HIR1;HIR2;MAF1;NAB2;NCB2;PAF1;PZF1;RET1;RPB10;RPB5;RPB8;RPC10;RPC11;RPC17;RPC19;RPC25;RPC31;RPC34;RPC37;RPC40;RPC53;RPC82;RPO26;RPO31;SCH9;SEN1;SPT15;SUB1;TFC1;TFC3;TFC4;TFC6;TFC7;TFC8,43,111.0,0.001,0.07605882352941176,1.0,1.0
7-methylguanosine mRNA capping,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA replication termination,-1,,0,0.0,1.0,1.0,1.0,1.0
protein insertion into ER membrane,58,BFR1;GET1;GET2;GET3;GET4;HSP104;MDY2;SGT2;YBR137W;YDJ1,10,10.0,0.01,0.9946153846153846,1.0,1.0
positive regulation of macroautophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to condensed chromosome,-1,,0,0.0,1.0,1.0,1.0,1.0
endoplasmic reticulum organization,55,BFR1;CDC48;EPO1;GET1;GET2;GET3;GET4;HER1;HER2;HSP104;IST2;LNP1;MDY2;MYO4;PER33;RTN1;RTN2;SCS2;SEC3;SEC31;SEC5;SEC8;SEY1;SGT2;SHE3;SHS1;SWA2;SWC3;TCB1;TCB2;TCB3;UFE1;YBR137W;YDJ1;YGR026W;YOP1,36,18.0,0.001,0.21550000000000002,1.0,1.0
coenzyme A metabolic process,10,CAB2;CAB3;CAB4;CAB5;HMG1;HMG2;SIS2;VHS3,8,103.11142037289761,0.004,0.14366666666666666,0.994,1.0
regulation of endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphate ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
energy reserve metabolic process,60,AAP1;BMH1;BMH2;CDC28;GAC1;GDB1;GIP2;GLC3;GLC7;GLC8;GLG1;GLG2;GPH1;GSY1;GSY2;IGD1;PCL10;PCL6;PCL7;PCL8;PGM1;PHO85;PIG2;PPG1;PSK1;RGI1;RGI2;SAK1;SHP1;UGP1,30,15.0,0.001,0.05621739130434782,1.0,1.0
snRNA processing,31,LRP1;MTR3;MTR4;NAB3;NRD1;PAP2;REX3;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;SEN1;SKI6;TRF5;USB1,18,135.0,0.001,0.036942857142857145,0.986,1.0
lipid translocation,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleotide salvage,60,ADO1;AMD1;APT1;APT2;HPT1;XPT1,6,10.484550065040281,0.008,0.3566896551724138,1.0,1.0
acetate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of generation of precursor metabolites and energy,60,BMH1;BMH2;CDC28;GAC1;GIP2;GLC7;HAP5;IGD1;MYG1;PCL10;PCL6;PCL7;PCL8;PDC2;PFK27;PHO85;PIG2;PSK1;SAK1;SOD1,20,15.0,0.001,0.05621739130434782,1.0,1.0
aminophospholipid transport,62,CDC50;DNF1;DNF2;DNF3;DRS2;LEM3;MMM1,7,11.21289390696343,0.005,1.0,0.995,1.0
mRNA methylation,-1,,0,0.0,1.0,1.0,1.0,1.0
GMP metabolic process,60,GUA1;HPT1;IMD2;IMD3;IMD4;XPT1,6,11.989700043360187,0.004,0.19892307692307692,1.0,1.0
copper ion homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
microtubule organizing center organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic sister chromatid segregation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription by RNA polymerase I,-1,,0,0.0,1.0,1.0,1.0,1.0
protein deubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
polyphosphate metabolic process,25,PHO84;PHO87;PHO90;PHO91;PPN1;PPN2;PPX1;VPH1;VTC1;VTC2;VTC3;VTC4;VTC5,13,90.0,0.001,0.09946153846153846,1.0,1.0
spindle pole body duplication,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of molecular function,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of nucleocytoplasmic transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of G1/S transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
membrane biogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
'de novo' pyrimidine nucleobase biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
basic amino acid transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
protein refolding,-1,,0,0.0,1.0,1.0,1.0,1.0
replication-born double-strand break repair via sister chromatid exchange,-1,,0,0.0,1.0,1.0,1.0,1.0
homocysteine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cysteine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
polyol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to toxic substance,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of organelle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
protein exit from endoplasmic reticulum,-1,,0,0.0,1.0,1.0,1.0,1.0
response to organic cyclic compound,56,GLE2;LOG1;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84;PDR5;RPL42A;RPL42B;YGL039W;YNL134C,14,18.0,0.001,0.09235714285714286,1.0,1.0
respiratory electron transport chain,18,CIR2;COX1;COX13;COX2;COX4;COX5A;COX5B;COX6;COX7;COX8;COX9;CYC1;CYT1;MTC3;NDI1;ODC2;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1;SDH2;SDH4;SDH5;SDH9;TAZ1,29,93.0,0.001,0.07605882352941176,1.0,1.0
potassium ion transport,25,ENA1;KHA1;MDM38;NHA1;NHX1;QDR2;SAP155;SAP185;TRK1;VCX1;VHC1;VNX1;YVC1,13,90.0,0.001,0.09946153846153846,1.0,1.0
regulation of proteolysis,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of sphingolipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of protein stability,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of antisense RNA transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
oxidative phosphorylation,18,ATP15;ATP2;ATP5;COX1;COX12;COX13;COX2;COX4;COX5A;COX5B;COX6;COX7;COX8;COX9;CYC1;CYT1;MTC3;NDI1;QCR10;QCR2;QCR6;QCR7;QCR8;QCR9;RIP1;SDH1;SDH4;SDH5;SDH9;TAZ1,30,93.0,0.001,0.07605882352941176,1.0,1.0
ADP metabolic process,38,ADK1;ADK2;CDC19;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;TDH1;TDH2;TDH3;TPI1,24,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
positive regulation of DNA-templated DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
glucosamine-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic sister chromatid separation,48,APC11;APC5;BUB1;BUB3;CDC16;CDC23;CDC55;CDH1;CEP3;CHL4;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;SPC105;TPD3;ULP2,25,24.0,0.001,0.11754545454545455,1.0,1.0
regulation of ncRNA transcription,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of protein location,27,AIM44;BEM1;BRE5;DID4;EMP24;EPS1;ERD2;ERP1;ERP2;ERP3;ERP4;NUM1;PEP8;PFY1;PTP2;PTP3;RER1;SDS22;SVP26;TWF1;UBP3;VPS1;VPS13;VPS15;VPS27;VPS35;VPS36;VPS4;VPS5;VPS74;WTM1,31,90.0,0.001,0.09946153846153846,0.984,1.0
negative regulation of metaphase/anaphase transition of cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
glutathione catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of sulfur metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
thiamine-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of filamentous growth of a population of unicellular organisms,-1,,0,0.0,1.0,1.0,1.0,1.0
branched-chain amino acid biosynthetic process,34,BAT1;BAT2;CHA1;HOM2;HOM6;ILV1;ILV2;ILV3;ILV5;ILV6;LEU1;LEU4;LEU9;MMF1,14,75.4948500216801,0.001,0.09946153846153846,1.0,1.0
vesicle cargo loading,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of G1/S transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
fermentation,-1,,0,0.0,1.0,1.0,1.0,1.0
5S class rRNA transcription by RNA polymerase III,-1,,0,0.0,1.0,1.0,1.0,1.0
fatty acid beta-oxidation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of gluconeogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
cell cycle DNA replication,3,BMH2;CDC28;CDC45;CDC7;CDC9;CLB5;DBF4;FKH1;FKH2;HOG1;IPI1;IPI3;LGE1;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MRC1;MUM2;NOC3;ORC1;ORC2;ORC3;ORC4;ORC5;ORC6;POL1;PPS1;PSF1;PSF3;RAD51;RIF1;RIX1;RSC3;SFH1,37,143.80408848097923,0.003,0.3879,1.0,1.0
regulation of carbohydrate metabolic process,60,BMH1;BMH2;CDC28;FYV10;GAC1;GID7;GID8;GIP2;GLC7;GPA1;IGD1;KCS1;LRG1;PCL10;PCL6;PCL7;PCL8;PDC2;PFK27;PHO85;PIG2;PSK1;RHO1;RMD5;SAK1;SDH7;SNF1;SNF4;TSA1;UBC8;VID24;VID28;VID30,33,15.0,0.001,0.05621739130434782,1.0,1.0
regulation of microtubule cytoskeleton organization,-1,,0,0.0,1.0,1.0,1.0,1.0
sphingoid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to water deprivation,-1,,0,0.0,1.0,1.0,1.0,1.0
protein sumoylation,-1,,0,0.0,1.0,1.0,1.0,1.0
intermembrane lipid transfer,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to microtubule cytoskeleton,-1,,0,0.0,1.0,1.0,1.0,1.0
peptidyl-histidine modification,-1,,0,0.0,1.0,1.0,1.0,1.0
G protein-coupled receptor signaling pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
maintenance of protein localization in endoplasmic reticulum,-1,,0,0.0,1.0,1.0,1.0,1.0
